"claim_id","target_section","claim_type","candidate_statement","support_status","source_phase","source_artifact","source_hash","quantitative_support","mandatory_qualifier","prohibited_extension","editorial_status"
"R-11","RESULTS","DIRECT_RESULT","No exact cross-dominance relation was classified as numerically fragile under the frozen diagnostic.","SUPPORTED","CR1-COMP-15","06_manuscript/article_Q1/review/CR1_COMP_15_QUANTITATIVE_COMPARATIVE_VERDICT_v96z.json","DDE3376323AC91066857B59C6794C296F06D9389EB36B29D5F50270AF98A5251","NUMERICALLY_FRAGILE_DOMINANCE_COUNT=0","Diagnostic sensitivity only; exact dominance remained unchanged.","General numerical robustness","CANDIDATE_NOT_YET_INSERTED"
"D-01","DISCUSSION","SUPPORTED_INTERPRETATION","Direct optimization under corrected COST-E3D did not uniformly replace the historical reevaluated trade-off set.","SUPPORTED","CR1-COMP-15","06_manuscript/article_Q1/review/CR1_COMP_15_QUANTITATIVE_COMPARATIVE_VERDICT_v96z.json","DDE3376323AC91066857B59C6794C296F06D9389EB36B29D5F50270AF98A5251","Bidirectional sparse dominance; H and C joint Rank 1 survival","Finite-set interpretation only.","Uniform replacement or global superiority","CANDIDATE_NOT_YET_INSERTED"
"D-02","DISCUSSION","SUPPORTED_INTERPRETATION","The combined evidence is consistent with trade-off restructuring rather than a uniform directional shift.","SUPPORTED","CR1-COMP-15","06_manuscript/article_Q1/review/CR1_COMP_15_QUANTITATIVE_COMPARATIVE_VERDICT_v96z.json","DDE3376323AC91066857B59C6794C296F06D9389EB36B29D5F50270AF98A5251","96.29629629629629% incomparable; bidirectional dominance; Rank 1 contributions; geometry; HV","Descriptive synthesis, not a formal classification or causal proof.","Formal class, proof, or global superiority","CANDIDATE_NOT_YET_INSERTED"
"D-03","DISCUSSION","SUPPORTED_INTERPRETATION","C was concentrated within a narrower observed objective-space region without new marginal extremes, while 7 of its 9 solutions remained in joint Rank 1.","SUPPORTED","CR1-COMP-14","06_manuscript/article_Q1/review/CR1_COMP_14_PHYSICAL_ECONOMIC_ENVIRONMENTAL_INTERPRETATION_v96z.json","59B9E07FC5420C923F15873C7E01A549092A92EFAC9D2DF4AB46FA7B8E952A9F","C joint Rank 1=7/9; no new extremes; narrower intervals","Observed finite-set concentration.","Contraction of a true Pareto front","CANDIDATE_NOT_YET_INSERTED"
"D-04","DISCUSSION","SUPPORTED_INTERPRETATION","The greater anchored hypervolume of C indicates greater coverage of the objective space defined by the frozen common anchors and reference points.","SUPPORTED","CR1-COMP-15","06_manuscript/article_Q1/review/CR1_COMP_15_QUANTITATIVE_COMPARATIVE_VERDICT_v96z.json","DDE3376323AC91066857B59C6794C296F06D9389EB36B29D5F50270AF98A5251","C_GT_H at r5/r10/r20","It does not measure distance to a true front or demonstrate convergence.","True-front proximity or convergence","CANDIDATE_NOT_YET_INSERTED"
"D-05","DISCUSSION","SUPPORTED_INTERPRETATION","C's markedly lower median f1 was accompanied by moderately higher median f2 and f3, indicating an observed trade-off rather than global superiority.","SUPPORTED","CR1-COMP-14","06_manuscript/article_Q1/review/CR1_COMP_14_PHYSICAL_ECONOMIC_ENVIRONMENTAL_INTERPRETATION_v96z.json","59B9E07FC5420C923F15873C7E01A549092A92EFAC9D2DF4AB46FA7B8E952A9F","f1 -33.807045718015644%; f2 +3.1995544935821214%; f3 +3.8585642103238946%","Finite-set central tendencies; no statistical inference.","Global or statistical superiority","CANDIDATE_NOT_YET_INSERTED"
"D-06","DISCUSSION","SUPPORTED_INTERPRETATION","H retains scientific and design value because 8/9 H solutions remain in joint Rank 1, H locally dominates two C solutions, preserves the observed marginal extremes, and has greater reciprocal coverage.","SUPPORTED","CR1-COMP-15","06_manuscript/article_Q1/review/CR1_COMP_15_QUANTITATIVE_COMPARATIVE_VERDICT_v96z.json","DDE3376323AC91066857B59C6794C296F06D9389EB36B29D5F50270AF98A5251","H Rank1=8/9; H-to-C=2; coverage=2/9","Historical R1 solutions were reevaluated, not reoptimized, under corrected COST-E3D.","Historical corrected Pareto front","CANDIDATE_NOT_YET_INSERTED"
"D-07","DISCUSSION","SUPPORTED_INTERPRETATION","C contributes new compromise information because 7/9 C solutions remain in joint Rank 1, C04 dominates H05, and HV_C exceeds HV_H at r5/r10/r20.","SUPPORTED","CR1-COMP-15","06_manuscript/article_Q1/review/CR1_COMP_15_QUANTITATIVE_COMPARATIVE_VERDICT_v96z.json","DDE3376323AC91066857B59C6794C296F06D9389EB36B29D5F50270AF98A5251","C Rank1=7/9; C04>H05; C_GT_H","No single best solution or global superiority follows.","Best solution or global superiority","CANDIDATE_NOT_YET_INSERTED"
"D-08","DISCUSSION","LIMITED_INFERENCE","The C-region concentration hypothesis is only partially supported and is interpreted as involving multiple trade-off mechanisms rather than one unique physical mechanism.","PARTIALLY_SUPPORTED","CR1-COMP-14","06_manuscript/article_Q1/review/CR1_COMP_14_PHYSICAL_ECONOMIC_ENVIRONMENTAL_INTERPRETATION_v96z.json","59B9E07FC5420C923F15873C7E01A549092A92EFAC9D2DF4AB46FA7B8E952A9F","C_REGION_CONCENTRATION_HYPOTHESIS=PARTIALLY_SUPPORTED","Mechanistic attribution remains limited by persisted evidence.","Unique causal mechanism","CANDIDATE_NOT_YET_INSERTED"
"D-09","DISCUSSION","SUPPORTED_INTERPRETATION","The economic interpretation concerns specific modeled operating energy cost and must remain distinct from total modeled operating energy cost or comprehensive economic cost.","SUPPORTED","CR1-COMP-13","06_manuscript/article_Q1/review/CR1_COMP_13_OBJECTIVE_DECOMPOSITION_v96z.json","4B8D9B30B237E2BA65DD5F71ECB218C995BEC1646943F50F68ECB1E08DCE0B52","f2=MODELED_OPERATING_ENERGY_COST","Excludes CAPEX, maintenance, labor, TCO, and commercial total cost.","Integral economic cost","CANDIDATE_NOT_YET_INSERTED"
"D-10","DISCUSSION","SUPPORTED_INTERPRETATION","The environmental interpretation concerns specific modeled operational CO2 as implemented, not life-cycle environmental impact.","SUPPORTED","CR1-COMP-13","06_manuscript/article_Q1/review/CR1_COMP_13_OBJECTIVE_DECOMPOSITION_v96z.json","4B8D9B30B237E2BA65DD5F71ECB218C995BEC1646943F50F68ECB1E08DCE0B52","f3=MODELED_OPERATIONAL_CO2_AS_IMPLEMENTED","No life-cycle or total-impact interpretation.","Life-cycle footprint or total environmental impact","CANDIDATE_NOT_YET_INSERTED"
"D-11","DISCUSSION","SUPPORTED_INTERPRETATION","The common TMAX regime removes a trivial nominal-horizon difference as an H-versus-C explanation, but it does not imply identical temporal trajectories.","SUPPORTED","CR1-COMP-12","06_manuscript/article_Q1/review/CR1_COMP_12_COMMON_TERMINAL_REGIME_v96z.json","8D0646DF4EA5CDFBB458C6E4C0E58A85D5A1D7C49351731DC283126374147994","COMMON_TMAX_19P9H","Common fixed nominal horizon only.","Identical trajectories or free normal termination","CANDIDATE_NOT_YET_INSERTED"
"L-01","LIMITATIONS","MANDATORY_LIMITATION","Only one CORRECTED_R1 run is available (seed 61001); between-seed variability is not established.","SUPPORTED","CR1-COMP-15","06_manuscript/article_Q1/review/CR1_COMP_15_QUANTITATIVE_COMPARATIVE_VERDICT_v96z.json","DDE3376323AC91066857B59C6794C296F06D9389EB36B29D5F50270AF98A5251","seed=61001; runs=1","No optimizer-performance distribution.","Omission of mandatory limitation","CANDIDATE_NOT_YET_INSERTED"
"L-02","LIMITATIONS","MANDATORY_LIMITATION","CORRECTED_R1 stopped after reaching MaxGenerations=50; this is not evidence of convergence.","SUPPORTED","CR1-COMP-15","06_manuscript/article_Q1/review/CR1_COMP_15_QUANTITATIVE_COMPARATIVE_VERDICT_v96z.json","DDE3376323AC91066857B59C6794C296F06D9389EB36B29D5F50270AF98A5251","MaxGenerations=50; MAXGENERATIONS_REACHED","Convergence remains unestablished.","Omission of mandatory limitation","CANDIDATE_NOT_YET_INSERTED"
"L-03","LIMITATIONS","MANDATORY_LIMITATION","The compared sets are finite and no independent true/global Pareto front is available.","SUPPORTED","CR1-COMP-15","06_manuscript/article_Q1/review/CR1_COMP_15_QUANTITATIVE_COMPARATIVE_VERDICT_v96z.json","DDE3376323AC91066857B59C6794C296F06D9389EB36B29D5F50270AF98A5251","18 evaluated solutions","No global optimality claim.","Omission of mandatory limitation","CANDIDATE_NOT_YET_INSERTED"
"L-04","LIMITATIONS","MANDATORY_LIMITATION","The nine H and nine C points are not independent optimizer replicates and cannot support statistical performance inference.","SUPPORTED","CR1-COMP-15","06_manuscript/article_Q1/review/CR1_COMP_15_QUANTITATIVE_COMPARATIVE_VERDICT_v96z.json","DDE3376323AC91066857B59C6794C296F06D9389EB36B29D5F50270AF98A5251","H=9; C=9","No significance or configuration-superiority claim.","Omission of mandatory limitation","CANDIDATE_NOT_YET_INSERTED"
"L-05","LIMITATIONS","MANDATORY_LIMITATION","All 18 cases share COMMON_TMAX_19P9H, so results concern a fixed maximum horizon rather than free normal termination.","SUPPORTED","CR1-COMP-12","06_manuscript/article_Q1/review/CR1_COMP_12_COMMON_TERMINAL_REGIME_v96z.json","8D0646DF4EA5CDFBB458C6E4C0E58A85D5A1D7C49351731DC283126374147994","H TMAX=9; C TMAX=9","No identical-trajectory inference.","Omission of mandatory limitation","CANDIDATE_NOT_YET_INSERTED"
"L-06","LIMITATIONS","MANDATORY_LIMITATION","Irradiacion is not available in the persisted validated evidence, preventing direct quantitative attribution to Irradiacion.","SUPPORTED","CR1-COMP-14","06_manuscript/article_Q1/review/CR1_COMP_14_PHYSICAL_ECONOMIC_ENVIRONMENTAL_INTERPRETATION_v96z.json","59B9E07FC5420C923F15873C7E01A549092A92EFAC9D2DF4AB46FA7B8E952A9F","IRRADIACION_NOT_AVAILABLE","Do not reconstruct Irradiacion.","Omission of mandatory limitation","CANDIDATE_NOT_YET_INSERTED"
"L-07","LIMITATIONS","MANDATORY_LIMITATION","For C, total_CO2_kg is available but persisted CO2_LPG_kg and CO2_electricity_kg components are not.","SUPPORTED","CR1-COMP-13","06_manuscript/article_Q1/review/CR1_COMP_13_OBJECTIVE_DECOMPOSITION_v96z.json","4B8D9B30B237E2BA65DD5F71ECB218C995BEC1646943F50F68ECB1E08DCE0B52","C_CO2_COMPONENTS_NOT_PERSISTED","No C component-level attribution.","Omission of mandatory limitation","CANDIDATE_NOT_YET_INSERTED"
"L-08","LIMITATIONS","MANDATORY_LIMITATION","f2 is modeled operating energy cost; it excludes CAPEX, maintenance, labor, TCO, and commercial total cost.","SUPPORTED","CR1-COMP-13","06_manuscript/article_Q1/review/CR1_COMP_13_OBJECTIVE_DECOMPOSITION_v96z.json","4B8D9B30B237E2BA65DD5F71ECB218C995BEC1646943F50F68ECB1E08DCE0B52","MODELED_OPERATING_ENERGY_COST","Not comprehensive economic cost.","Omission of mandatory limitation","CANDIDATE_NOT_YET_INSERTED"
"L-09","LIMITATIONS","MANDATORY_LIMITATION","f3 is modeled operational CO2 as implemented, not a life-cycle carbon footprint or total environmental impact.","SUPPORTED","CR1-COMP-13","06_manuscript/article_Q1/review/CR1_COMP_13_OBJECTIVE_DECOMPOSITION_v96z.json","4B8D9B30B237E2BA65DD5F71ECB218C995BEC1646943F50F68ECB1E08DCE0B52","MODELED_OPERATIONAL_CO2_AS_IMPLEMENTED","Not life-cycle impact.","Omission of mandatory limitation","CANDIDATE_NOT_YET_INSERTED"
"L-10","LIMITATIONS","MANDATORY_LIMITATION","The CO2/CO2e label requires editorial reconciliation before final manuscript insertion.","SUPPORTED","CR1-COMP-13","06_manuscript/article_Q1/review/CR1_COMP_13_OBJECTIVE_DECOMPOSITION_v96z.json","4B8D9B30B237E2BA65DD5F71ECB218C995BEC1646943F50F68ECB1E08DCE0B52","COMPUTATIONAL_NAME_PRESERVED_PENDING_MANUSCRIPT_EDITORIAL_RECONCILIATION","Editorial nomenclature remains pending.","Omission of mandatory limitation","CANDIDATE_NOT_YET_INSERTED"
"L-11","LIMITATIONS","MANDATORY_LIMITATION","H consists of historical solutions generated under an earlier formulation and later reevaluated, not directly reoptimized, under corrected COST-E3D.","SUPPORTED","CR1-COMP-15","06_manuscript/article_Q1/review/CR1_COMP_15_QUANTITATIVE_COMPARATIVE_VERDICT_v96z.json","DDE3376323AC91066857B59C6794C296F06D9389EB36B29D5F50270AF98A5251","H historical provenance","Do not call H a corrected Pareto front.","Omission of mandatory limitation","CANDIDATE_NOT_YET_INSERTED"
"C-01","CONCLUSIONS","SUPPORTED_INTERPRETATION","Direct optimization under corrected COST-E3D restructures the observed finite-set trade-offs.","SUPPORTED","CR1-COMP-15","06_manuscript/article_Q1/review/CR1_COMP_15_QUANTITATIVE_COMPARATIVE_VERDICT_v96z.json","DDE3376323AC91066857B59C6794C296F06D9389EB36B29D5F50270AF98A5251","Frozen CR1-COMP-15 vector and narrative","Applies only to the finite evaluated evidence.","Manuscript readiness or scientific sufficiency","CANDIDATE_NOT_YET_INSERTED"
"C-02","CONCLUSIONS","SUPPORTED_INTERPRETATION","The evidence does not support uniform replacement of H by C.","SUPPORTED","CR1-COMP-15","06_manuscript/article_Q1/review/CR1_COMP_15_QUANTITATIVE_COMPARATIVE_VERDICT_v96z.json","DDE3376323AC91066857B59C6794C296F06D9389EB36B29D5F50270AF98A5251","Frozen CR1-COMP-15 vector and narrative","Applies only to the finite evaluated evidence.","Manuscript readiness or scientific sufficiency","CANDIDATE_NOT_YET_INSERTED"
"C-03","CONCLUSIONS","SUPPORTED_INTERPRETATION","Both H and C contribute solutions to the joint nondominated set of the 18 evaluated solutions.","SUPPORTED","CR1-COMP-15","06_manuscript/article_Q1/review/CR1_COMP_15_QUANTITATIVE_COMPARATIVE_VERDICT_v96z.json","DDE3376323AC91066857B59C6794C296F06D9389EB36B29D5F50270AF98A5251","Frozen CR1-COMP-15 vector and narrative","Applies only to the finite evaluated evidence.","Manuscript readiness or scientific sufficiency","CANDIDATE_NOT_YET_INSERTED"
"C-04","CONCLUSIONS","SUPPORTED_INTERPRETATION","C has greater anchored hypervolume under all three frozen reference points.","SUPPORTED","CR1-COMP-15","06_manuscript/article_Q1/review/CR1_COMP_15_QUANTITATIVE_COMPARATIVE_VERDICT_v96z.json","DDE3376323AC91066857B59C6794C296F06D9389EB36B29D5F50270AF98A5251","Frozen CR1-COMP-15 vector and narrative","Applies only to the finite evaluated evidence.","Manuscript readiness or scientific sufficiency","CANDIDATE_NOT_YET_INSERTED"
"C-05","CONCLUSIONS","SUPPORTED_INTERPRETATION","H retains the observed marginal extremes and substantial joint Rank 1 contributions.","SUPPORTED","CR1-COMP-15","06_manuscript/article_Q1/review/CR1_COMP_15_QUANTITATIVE_COMPARATIVE_VERDICT_v96z.json","DDE3376323AC91066857B59C6794C296F06D9389EB36B29D5F50270AF98A5251","Frozen CR1-COMP-15 vector and narrative","Applies only to the finite evaluated evidence.","Manuscript readiness or scientific sufficiency","CANDIDATE_NOT_YET_INSERTED"
"C-06","CONCLUSIONS","SUPPORTED_INTERPRETATION","The principal comparative interpretation is trade-off restructuring, not global superiority.","SUPPORTED","CR1-COMP-15","06_manuscript/article_Q1/review/CR1_COMP_15_QUANTITATIVE_COMPARATIVE_VERDICT_v96z.json","DDE3376323AC91066857B59C6794C296F06D9389EB36B29D5F50270AF98A5251","Frozen CR1-COMP-15 vector and narrative","Applies only to the finite evaluated evidence.","Manuscript readiness or scientific sufficiency","CANDIDATE_NOT_YET_INSERTED"
"C-07","CONCLUSIONS","SUPPORTED_INTERPRETATION","The finite H-versus-C comparison is characterized, while convergence, global optimality, between-seed robustness, and statistical superiority remain unestablished.","SUPPORTED","CR1-COMP-15","06_manuscript/article_Q1/review/CR1_COMP_15_QUANTITATIVE_COMPARATIVE_VERDICT_v96z.json","DDE3376323AC91066857B59C6794C296F06D9389EB36B29D5F50270AF98A5251","Frozen CR1-COMP-15 vector and narrative","Applies only to the finite evaluated evidence.","Manuscript readiness or scientific sufficiency","CANDIDATE_NOT_YET_INSERTED"
