"FileName","RelativePath","FullName","Extension","LengthBytes","LengthMB","LastWriteTime","SHA256"
"TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l_preflight.csv","05_runs\triobjective_formal_run_design_v96l\TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l_20260627_124012\tables\TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l_preflight.csv","D:\CODE\deshidratador\05_runs\triobjective_formal_run_design_v96l\TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l_20260627_124012\tables\TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l_preflight.csv",".csv","809","0.001","27/06/2026 12:41:08 p. m.","36C6F5B8238D0EDB9B0B04A553CE3DE402E00195D5364D6D9E4C091918269548"
"TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l_requirements.csv","05_runs\triobjective_formal_run_design_v96l\TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l_20260627_124012\tables\TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l_requirements.csv","D:\CODE\deshidratador\05_runs\triobjective_formal_run_design_v96l\TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l_20260627_124012\tables\TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l_requirements.csv",".csv","909","0.001","27/06/2026 12:41:08 p. m.","4F6C0A4B09420975712C41402BE1D90C24B1CF5030B1279169876A849F48DEA2"
"TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l_scenarios.csv","05_runs\triobjective_formal_run_design_v96l\TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l_20260627_124012\tables\TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l_scenarios.csv","D:\CODE\deshidratador\05_runs\triobjective_formal_run_design_v96l\TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l_20260627_124012\tables\TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l_scenarios.csv",".csv","738","0.001","27/06/2026 12:41:08 p. m.","21D933A046405E217FD70559D0153E1BEA2087D31D0E87B1F745C8D61EFDD001"
"TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l_source_scan.csv","05_runs\triobjective_formal_run_design_v96l\TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l_20260627_124012\tables\TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l_source_scan.csv","D:\CODE\deshidratador\05_runs\triobjective_formal_run_design_v96l\TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l_20260627_124012\tables\TRIOBJECTIVE_FORMAL_RUN_DESIGN_v96l_source_scan.csv",".csv","2576","0.002","27/06/2026 12:41:08 p. m.","ECB1AE2F409753F436D5F3FDB0E43CF41321130840BFDBD87F2D4BAC45ADE29D"
"AUDIT_INTERNAL_RNG_v96m_v96z_rngfix.md","06_manuscript\article_Q1\review\AUDIT_INTERNAL_RNG_v96m_v96z_rngfix.md","D:\CODE\deshidratador\06_manuscript\article_Q1\review\AUDIT_INTERNAL_RNG_v96m_v96z_rngfix.md",".md","26908","0.026","30/06/2026 11:37:32 a. m.","EDC60AD84753A33128D47C4D5126CC8E00EECC8DD4FC98D96BBA3F34F6E7C007"
"FINAL_COST_CO2_FACTOR_TRACEABILITY_MATRIX_v96z_report.md","06_manuscript\article_Q1\review\FINAL_COST_CO2_FACTOR_TRACEABILITY_MATRIX_v96z_report.md","D:\CODE\deshidratador\06_manuscript\article_Q1\review\FINAL_COST_CO2_FACTOR_TRACEABILITY_MATRIX_v96z_report.md",".md","4286","0.004","02/07/2026 02:58:30 p. m.","306E4BB6DE516CC9F8F8573EAAD89534E0419C28C4BA8E779618ECED311D46D5"
"FINAL_COST_CO2_FACTOR_TRACEABILITY_MATRIX_v96z_Tchecks.csv","06_manuscript\article_Q1\review\FINAL_COST_CO2_FACTOR_TRACEABILITY_MATRIX_v96z_Tchecks.csv","D:\CODE\deshidratador\06_manuscript\article_Q1\review\FINAL_COST_CO2_FACTOR_TRACEABILITY_MATRIX_v96z_Tchecks.csv",".csv","2433","0.002","02/07/2026 02:58:30 p. m.","2DCA71441204724BB953D8C9CA6C3EC683D1C09248939C901811C6E81E421A9D"
"GAOPTS_AUDIT_v96z_before_formal_run_f4.md","06_manuscript\article_Q1\review\GAOPTS_AUDIT_v96z_before_formal_run_f4.md","D:\CODE\deshidratador\06_manuscript\article_Q1\review\GAOPTS_AUDIT_v96z_before_formal_run_f4.md",".md","6509","0.006","30/06/2026 05:01:52 p. m.","412573A9186665CED1217E81C6898E2978ADCA376CDF70F9CE65A4E12131D575"
"MINIMAL_SEED_REPLICATION_DESIGN_v96z_minrep.md","06_manuscript\article_Q1\review\MINIMAL_SEED_REPLICATION_DESIGN_v96z_minrep.md","D:\CODE\deshidratador\06_manuscript\article_Q1\review\MINIMAL_SEED_REPLICATION_DESIGN_v96z_minrep.md",".md","3381","0.003","28/06/2026 02:19:26 a. m.","06328829FBA86B8D5BA20CD4830D3CFCA5541705AFA77C2B5A241D35FF274C67"
"MINIMAL_SEED_REPLICATION_DESIGN_v96z_minrep.txt","06_manuscript\article_Q1\review\MINIMAL_SEED_REPLICATION_DESIGN_v96z_minrep.txt","D:\CODE\deshidratador\06_manuscript\article_Q1\review\MINIMAL_SEED_REPLICATION_DESIGN_v96z_minrep.txt",".txt","3381","0.003","28/06/2026 02:19:26 a. m.","06328829FBA86B8D5BA20CD4830D3CFCA5541705AFA77C2B5A241D35FF274C67"
"SEED_CONTROLLED_REPLICATION_RUNNER_RUNPREP_v96z_minrep.md","06_manuscript\article_Q1\review\SEED_CONTROLLED_REPLICATION_RUNNER_RUNPREP_v96z_minrep.md","D:\CODE\deshidratador\06_manuscript\article_Q1\review\SEED_CONTROLLED_REPLICATION_RUNNER_RUNPREP_v96z_minrep.md",".md","3327","0.003","28/06/2026 02:29:14 a. m.","0780A2F626F560CACA9D45DDEF45AA6A4EFB485F2E51536721ACA9EB6A95EEFB"
"SEED_CONTROLLED_REPLICATION_RUNNER_RUNPREP_v96z_minrep.txt","06_manuscript\article_Q1\review\SEED_CONTROLLED_REPLICATION_RUNNER_RUNPREP_v96z_minrep.txt","D:\CODE\deshidratador\06_manuscript\article_Q1\review\SEED_CONTROLLED_REPLICATION_RUNNER_RUNPREP_v96z_minrep.txt",".txt","3327","0.003","28/06/2026 02:29:14 a. m.","0780A2F626F560CACA9D45DDEF45AA6A4EFB485F2E51536721ACA9EB6A95EEFB"
"SEEDAWARE_FORMAL_R1_ONLY_v96z_rngfix.md","06_manuscript\article_Q1\review\SEEDAWARE_FORMAL_R1_ONLY_v96z_rngfix.md","D:\CODE\deshidratador\06_manuscript\article_Q1\review\SEEDAWARE_FORMAL_R1_ONLY_v96z_rngfix.md",".md","2141","0.002","01/07/2026 06:53:26 p. m.","5F6FA7A238D92874CF436D3441DDCC634AA242B5A18E0433B51375BC73027C1A"
"SEEDAWARE_SMOKE_SEED_DIFFERENCE_v96z_rngfix.md","06_manuscript\article_Q1\review\SEEDAWARE_SMOKE_SEED_DIFFERENCE_v96z_rngfix.md","D:\CODE\deshidratador\06_manuscript\article_Q1\review\SEEDAWARE_SMOKE_SEED_DIFFERENCE_v96z_rngfix.md",".md","2172","0.002","30/06/2026 02:44:10 p. m.","41D37D05172E7C2967E1998A1BB1054E44D4AEE91468F2193D79D5029FC3B004"
"audit_internal_rng_v96m_v96z_rngfix_checks.csv","06_manuscript\article_Q1\tables\audit_internal_rng_v96m_v96z_rngfix_checks.csv","D:\CODE\deshidratador\06_manuscript\article_Q1\tables\audit_internal_rng_v96m_v96z_rngfix_checks.csv",".csv","615","0.001","30/06/2026 11:37:32 a. m.","439CFE2624BB1CB75C5755AEA8621F8873FA218CDD0A855AC6395B2444309D2A"
"audit_internal_rng_v96m_v96z_rngfix_hits.csv","06_manuscript\article_Q1\tables\audit_internal_rng_v96m_v96z_rngfix_hits.csv","D:\CODE\deshidratador\06_manuscript\article_Q1\tables\audit_internal_rng_v96m_v96z_rngfix_hits.csv",".csv","31933","0.03","30/06/2026 11:37:32 a. m.","5AC0353ECA07CF69103B1C839F6423393F758B90285E20342461818E4D43CC90"
"FINAL_COST_CO2_FACTOR_TRACEABILITY_MATRIX_v96z.csv","06_manuscript\article_Q1\tables\FINAL_COST_CO2_FACTOR_TRACEABILITY_MATRIX_v96z.csv","D:\CODE\deshidratador\06_manuscript\article_Q1\tables\FINAL_COST_CO2_FACTOR_TRACEABILITY_MATRIX_v96z.csv",".csv","3487","0.003","02/07/2026 02:58:30 p. m.","3C3A6E421F5BEE66FEBEAE545B1118A278518DCBD0DF4421CE0FC277FF7E17D9"
"FINAL_COST_CO2_FACTOR_TRACEABILITY_MATRIX_v96z.md","06_manuscript\article_Q1\tables\FINAL_COST_CO2_FACTOR_TRACEABILITY_MATRIX_v96z.md","D:\CODE\deshidratador\06_manuscript\article_Q1\tables\FINAL_COST_CO2_FACTOR_TRACEABILITY_MATRIX_v96z.md",".md","4402","0.004","02/07/2026 02:58:30 p. m.","EDCA6B0CB138A14DA6CD8276367EDB31CDA5C450BE7DEDAE744D670781D91A34"
"GAOPTS_AUDIT_v96z_before_formal_run_f4_Tbounds.csv","06_manuscript\article_Q1\tables\GAOPTS_AUDIT_v96z_before_formal_run_f4_Tbounds.csv","D:\CODE\deshidratador\06_manuscript\article_Q1\tables\GAOPTS_AUDIT_v96z_before_formal_run_f4_Tbounds.csv",".csv","620","0.001","30/06/2026 05:01:52 p. m.","9390AE41F04532469B2188449C24B8A1807A6ABF52E2DD679914AC6DE44C4F11"
"GAOPTS_AUDIT_v96z_before_formal_run_f4_Tchecks.csv","06_manuscript\article_Q1\tables\GAOPTS_AUDIT_v96z_before_formal_run_f4_Tchecks.csv","D:\CODE\deshidratador\06_manuscript\article_Q1\tables\GAOPTS_AUDIT_v96z_before_formal_run_f4_Tchecks.csv",".csv","2316","0.002","30/06/2026 05:01:52 p. m.","157C7FFDB6ABEA428A1233F1B314784F18A8A268A7730CDCAF9658600A9CB042"
"GAOPTS_AUDIT_v96z_before_formal_run_f4_Tgaopts.csv","06_manuscript\article_Q1\tables\GAOPTS_AUDIT_v96z_before_formal_run_f4_Tgaopts.csv","D:\CODE\deshidratador\06_manuscript\article_Q1\tables\GAOPTS_AUDIT_v96z_before_formal_run_f4_Tgaopts.csv",".csv","2327","0.002","30/06/2026 05:01:52 p. m.","C59A0E257803229CE9D5DD7B986B7A201DD8ACBC61CDFA6422BF2B0286898CE3"
"GAOPTS_AUDIT_v96z_before_formal_run_f4_Tseed.csv","06_manuscript\article_Q1\tables\GAOPTS_AUDIT_v96z_before_formal_run_f4_Tseed.csv","D:\CODE\deshidratador\06_manuscript\article_Q1\tables\GAOPTS_AUDIT_v96z_before_formal_run_f4_Tseed.csv",".csv","501","0","30/06/2026 05:01:52 p. m.","B215623668FD51B537F27EFB328E06715BB07238F46A365F19303F6F005B1267"
"minimal_seed_replication_design_v96z_minrep.csv","06_manuscript\article_Q1\tables\minimal_seed_replication_design_v96z_minrep.csv","D:\CODE\deshidratador\06_manuscript\article_Q1\tables\minimal_seed_replication_design_v96z_minrep.csv",".csv","473","0","28/06/2026 02:19:26 a. m.","DF8E4FBF05732E5A1AD5E40969E44A13790C1AD16B6E8E75E720A0E820C87C28"
"SEEDAWARE_FORMAL_R1_ONLY_v96z_rngfix_Tchecks.csv","06_manuscript\article_Q1\tables\SEEDAWARE_FORMAL_R1_ONLY_v96z_rngfix_Tchecks.csv","D:\CODE\deshidratador\06_manuscript\article_Q1\tables\SEEDAWARE_FORMAL_R1_ONLY_v96z_rngfix_Tchecks.csv",".csv","1255","0.001","01/07/2026 06:53:26 p. m.","6438C0DE87C24A4A57B7D5C4EA1A421E24B353C383604F6699BEE4B69075E46B"
"SEEDAWARE_FORMAL_R1_ONLY_v96z_rngfix_Tplan.csv","06_manuscript\article_Q1\tables\SEEDAWARE_FORMAL_R1_ONLY_v96z_rngfix_Tplan.csv","D:\CODE\deshidratador\06_manuscript\article_Q1\tables\SEEDAWARE_FORMAL_R1_ONLY_v96z_rngfix_Tplan.csv",".csv","690","0.001","01/07/2026 06:53:26 p. m.","12610B8825FCED5DA85AD5D3A7D84EB8FF58CDB381587A166BDE12B070F65472"
"SEEDAWARE_FORMAL_R1_ONLY_v96z_rngfix_Tsummary.csv","06_manuscript\article_Q1\tables\SEEDAWARE_FORMAL_R1_ONLY_v96z_rngfix_Tsummary.csv","D:\CODE\deshidratador\06_manuscript\article_Q1\tables\SEEDAWARE_FORMAL_R1_ONLY_v96z_rngfix_Tsummary.csv",".csv","539","0.001","01/07/2026 06:53:26 p. m.","6F5A71F8C12A1356853DC3D3F61A8311432F6E3ABA69524A0DD797FCF2E8D90C"
"seedaware_smoke_seed_difference_v96z_rngfix_checks.csv","06_manuscript\article_Q1\tables\seedaware_smoke_seed_difference_v96z_rngfix_checks.csv","D:\CODE\deshidratador\06_manuscript\article_Q1\tables\seedaware_smoke_seed_difference_v96z_rngfix_checks.csv",".csv","1169","0.001","30/06/2026 02:44:08 p. m.","A1EB031E03111996A205695EBEB95508BE3FD598E4D7ADEB1AF9D9AE82B513DC"
"seedaware_smoke_seed_difference_v96z_rngfix_pairwise.csv","06_manuscript\article_Q1\tables\seedaware_smoke_seed_difference_v96z_rngfix_pairwise.csv","D:\CODE\deshidratador\06_manuscript\article_Q1\tables\seedaware_smoke_seed_difference_v96z_rngfix_pairwise.csv",".csv","122","0","30/06/2026 02:44:08 p. m.","2A626C9FEB3E22152606255A437AEFF7C91312F8F5C4E0729D6F1833B0A25FB5"
"seedaware_smoke_seed_difference_v96z_rngfix_Tsmoke.csv","06_manuscript\article_Q1\tables\seedaware_smoke_seed_difference_v96z_rngfix_Tsmoke.csv","D:\CODE\deshidratador\06_manuscript\article_Q1\tables\seedaware_smoke_seed_difference_v96z_rngfix_Tsmoke.csv",".csv","906","0.001","30/06/2026 02:44:08 p. m.","36E0449DB9AB6B2DB27ABD6AB7A1A126CE6F7D1A83AC4400897F55EAC48FDD26"
"AUDIT_INTERNAL_RNG_v96m_v96z_rngfix.mat","06_manuscript\article_Q1\traceability\AUDIT_INTERNAL_RNG_v96m_v96z_rngfix.mat","D:\CODE\deshidratador\06_manuscript\article_Q1\traceability\AUDIT_INTERNAL_RNG_v96m_v96z_rngfix.mat",".mat","11972","0.011","30/06/2026 11:37:32 a. m.","6F6476C0765DE4A26AE59E38CAD07253B708A559EDAEB4C0FFAE70B39376F2BF"
"FINAL_COST_CO2_FACTOR_TRACEABILITY_MATRIX_v96z.mat","06_manuscript\article_Q1\traceability\FINAL_COST_CO2_FACTOR_TRACEABILITY_MATRIX_v96z.mat","D:\CODE\deshidratador\06_manuscript\article_Q1\traceability\FINAL_COST_CO2_FACTOR_TRACEABILITY_MATRIX_v96z.mat",".mat","7807","0.007","02/07/2026 02:58:30 p. m.","247E225C5B571F67A1A19DD2A4301D4134949FBD8BB9C352092E3CD79D18469C"
"GAOPTS_AUDIT_v96z_before_formal_run_f4.mat","06_manuscript\article_Q1\traceability\GAOPTS_AUDIT_v96z_before_formal_run_f4.mat","D:\CODE\deshidratador\06_manuscript\article_Q1\traceability\GAOPTS_AUDIT_v96z_before_formal_run_f4.mat",".mat","9445","0.009","30/06/2026 05:01:52 p. m.","611FD3CD2ABDFB4730F9C5FF8E9E37356DD17CDE8EA36C771F3BAD5B32382426"
"MINIMAL_SEED_REPLICATION_DESIGN_v96z_minrep.mat","06_manuscript\article_Q1\traceability\MINIMAL_SEED_REPLICATION_DESIGN_v96z_minrep.mat","D:\CODE\deshidratador\06_manuscript\article_Q1\traceability\MINIMAL_SEED_REPLICATION_DESIGN_v96z_minrep.mat",".mat","22981","0.022","28/06/2026 02:19:26 a. m.","BB52F689FD3416C274A3F8E408C9B39B191F20A6B6A55E27663174E34ECD80FB"
"SEED_CONTROLLED_REPLICATION_RUNNER_RUNPREP_v96z_minrep.mat","06_manuscript\article_Q1\traceability\SEED_CONTROLLED_REPLICATION_RUNNER_RUNPREP_v96z_minrep.mat","D:\CODE\deshidratador\06_manuscript\article_Q1\traceability\SEED_CONTROLLED_REPLICATION_RUNNER_RUNPREP_v96z_minrep.mat",".mat","27585","0.026","28/06/2026 02:29:14 a. m.","C7637C3993E8697397A5074D202E3C6D50A94A8A19E56E15BECB542534FE2273"
"SEEDAWARE_FORMAL_R1_ONLY_v96z_rngfix.mat","06_manuscript\article_Q1\traceability\SEEDAWARE_FORMAL_R1_ONLY_v96z_rngfix.mat","D:\CODE\deshidratador\06_manuscript\article_Q1\traceability\SEEDAWARE_FORMAL_R1_ONLY_v96z_rngfix.mat",".mat","19382","0.018","01/07/2026 06:53:26 p. m.","0EC0B1138563A60574D34C23F4C7233D39A837846458D6C2200D563770231F2B"
"SEEDAWARE_SMOKE_SEED_DIFFERENCE_v96z_rngfix.mat","06_manuscript\article_Q1\traceability\SEEDAWARE_SMOKE_SEED_DIFFERENCE_v96z_rngfix.mat","D:\CODE\deshidratador\06_manuscript\article_Q1\traceability\SEEDAWARE_SMOKE_SEED_DIFFERENCE_v96z_rngfix.mat",".mat","30333","0.029","30/06/2026 02:44:10 p. m.","2F1D94A6BCD6EA23507E8569657C99F459E27423F98A5503D2880DCF95C0F363"
